,Unnamed: 0,Year,OSHPD_ID,FacilityName,County,TypeofOwnership,HospitalType,Teaching,LicensedBeds,AvailableBeds,StaffedBeds,PretaxNetIncome,OtherOperatingRev,TotalOperatingRev,TotalMargin,OperatingMargin,Location,SmallORRural
0,0,2012,106281266,NAPA STATE HOSPITAL,Napa,State,State Hospitals,0,1362,1229,1229,548314153,0.0,548314153.0,0%,0%,"NAPA, California
(38.297242, -122.289405)",0
1,1,2011,106391056,SUTTER TRACY COMMUNITY HOSPITAL,San Joaquin,Non-Profit,Comparable,0,82,80,39,114262585,1350946.0,115613531.0,1.2%,1.2%,"TRACY, California
(37.738534, -121.421127)",0
2,2,2011,106190958,METROPOLITAN STATE HOSPITAL,Los Angeles,State,State Hospitals,0,1096,625,620,190336447,0.0,190336447.0,0%,0%,"NORWALK, California
(33.914183, -118.072494)",0
3,3,2013,106190163,AURORA CHARTER OAK,Los Angeles,Investor,Comparable,0,134,122,122,34639024,24744.0,34663768.0,0.1%,0.1%,"COVINA, California
(34.086248, -117.890145)",0
4,4,2012,106444013,WATSONVILLE COMMUNITY HOSPITAL,Santa Cruz,Investor,Comparable,0,106,106,92,109869542,191812.0,110061354.0,0.2%,0.2%,"WATSONVILLE, California
(36.910233, -121.756873)",0
5,5,2015,106190163,AURORA CHARTER OAK,Los Angeles,Investor,Comparable,0,134,134,126,37367580,45269.0,37412849.0,0.1%,0.1%,"COVINA, California
(34.086248, -117.890145)",0
6,6,2013,106380960,ST. FRANCIS MEMORIAL HOSPITAL,San Francisco,Non-Profit,Comparable,0,288,150,106,200826294,6240910.0,207067204.0,3%,3.1%,"SAN FRANCISCO, California
(37.78008, -122.420168)",0
7,7,2014,106370977,POMERADO HOSPITAL,San Diego,District,Comparable,0,236,236,212,174405382,1096911.0,175502293.0,0.6%,0.6%,"POWAY, California
(32.986369, -117.023491)",0
8,8,2014,106191228,LAC/USC MEDICAL CENTER,Los Angeles,City/County,Comparable,1,676,648,538,1053845427,219286066.0,1273131493.0,17.2%,20.8%,"LOS ANGELES, California
(34.052238, -118.243344)",0
9,9,2014,106291053,TAHOE FOREST HOSPITAL,Nevada,District,Comparable,0,62,62,62,101103496,1536162.0,102639658.0,1.5%,1.5%,"TRUCKEE, California
(39.328161, -120.184054)",1
10,10,2014,106190422,TORRANCE MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,0,446,378,270,495980623,14739360.0,510719983.0,2.9%,3%,"TORRANCE, California
(33.836318, -118.340038)",0
